Index,Cr,Co,C,Density,BCC_A2#1,BCC_A2#2,M23C6#1,HCS,GRF,SR,Maximum nunmber density,Precipitation speed
1,0.1,0,0.001,7795.1767,0.088112,0.889661,0.022228,1.0843,9.1287,50.09,7.36E+24,8.94E+20
2,0.1,0,0.0013,7793.4366,0.082734,0.888401,0.028865,1.1783,11.4338,68.1,8.43E+24,9.64E+20
3,0.1,0,0.0016,7791.6973,0.077369,0.887144,0.035487,1.2952,13.9001,89.1,8.86E+24,9.33E+20
4,0.1,0,0.0019,7789.9588,0.072015,0.88589,0.042096,1.4882,16.1845,116.08,8.81E+24,8.33E+20
5,0.1,0,0.0022,7788.2211,0.066672,0.884638,0.04869,1.7998,18.6262,153.33,8.43E+24,7.07E+20
6,0.1,0,0.0025,7786.4841,0.061341,0.883389,0.05527,1.8917,20.846,180.99,7.84E+24,5.83E+20
7,0.1,0,0.0028,7784.748,0.056022,0.882143,0.061835,2.1361,23.4282,207.99,7.14E+24,4.60E+20
8,0.1,0,0.0031,7783.0126,0.050714,0.880899,0.068387,2.0126,25.7816,210.27,6.41E+24,3.59E+20
9,0.1,0,0.0034,7781.2779,0.045417,0.879658,0.074925,1.8536,28.3148,207.99,5.70E+24,2.75E+20
10,0.1,0,0.0037,7779.5441,0.040132,0.87842,0.081448,1.7203,30.6371,205.37,5.03E+24,2.10E+20
11,0.1,0,0.004,7777.811,0.034858,0.877184,0.087958,1.6081,33.2699,202.76,4.44E+24,1.56E+20
12,0.1,0.0025,0.001,7796.06,0.088138,0.889632,0.02223,1.1036,9.2723,51.1,7.36E+24,8.60E+20
13,0.1,0.0025,0.0013,7794.3195,0.08276,0.888372,0.028868,1.1855,11.4975,69.1,8.42E+24,9.28E+20
14,0.1,0.0025,0.0016,7792.5799,0.077393,0.887115,0.035492,1.3214,13.9724,91.1,8.85E+24,8.97E+20
15,0.1,0.0025,0.0019,7790.841,0.072039,0.88586,0.042101,1.5617,16.266,120.69,8.80E+24,8.01E+20
